pid,lat,lon,x,y,metarea,pid
p06-01103,38.528695102996934,-122.88735103388748,-1963037.3442920218,-446193.155792285,750,p06-01103
p48-06400,27.85539330239293,-97.58027928969678,240534.72048010267,-1895966.752912084,188,p48-06400
p08-00901,38.83210150884484,-104.5255786449884,-392332.046206236,-674841.0374408807,172,p08-00901
p42-00902,41.264046610835905,-76.0054959513631,1971244.0902967108,-123995.13983508179,756,p42-00902
p41-01308,45.410758651530294,-122.4634661776365,-1725274.8599862943,288369.9627432925,644,p41-01308
p17-02300,41.13769882681981,-87.86177767664414,1012515.0020479369,-354548.77135181305,374,p17-02300
p27-00800,45.585891794699194,-94.47206521568985,429761.68334080797,79856.40835405233,698,p27-00800
p28-01900,31.19763456588356,-89.38720592411454,1013656.93361748,-1468505.2246953466,330,p28-01900
p08-00200,40.60004426702388,-105.16712293537044,-436213.3980073858,-475481.7911058149,267,p08-00200
p04-00400,35.838728690366345,-111.77050048007388,-1060166.9904852335,-943427.9315923916,262,p04-00400
p51-03000,36.94096851096915,-76.48527246422967,2061134.3742500963,-602788.8438686533,572,p51-03000
p42-03102,40.33388753386715,-76.98602603646839,1921008.190108628,-247834.72845331093,324,p42-03102
p12-02401,27.948874891173965,-81.6977461318105,1801694.8860278325,-1699227.5295066957,398,p12-02401
p48-02202,32.76869152032171,-96.99120341748377,282860.0830956471,-1352506.3092462474,192,p48-02202
p47-02900,35.544507346841975,-88.7617181074511,1016555.4574547736,-982415.4488110848,358,p47-02900
p47-00502,36.164660706158045,-86.73432816062248,1188330.816897397,-887541.5926919384,536,p47-00502
p06-00600,39.666920747752464,-121.6006461398094,-1824923.504919841,-352389.67068110633,162,p06-00600
p06-06101,34.22223468770666,-118.14949325905624,-1660461.7253718271,-1018010.6125438977,448,p06-06101
p26-02301,43.047128897216126,-83.69411987546596,1314247.1664483063,-85139.27032862228,264,p26-02301
p12-00702,30.510243763167328,-84.42219232018138,1494397.7755299436,-1471568.9873314446,824,p12-00702
p36-03202,41.76514997855407,-73.7428556699333,2132362.9259853633,-12979.582851796376,228,p36-03202
p42-00200,41.991654042782294,-80.03215194658416,1630530.9666942284,-134185.31165289565,236,p42-00200
p42-03203,39.919920469926254,-76.72651660587785,1954252.9216812088,-286461.3631992539,928,p42-03203
p27-00400,47.604140662941134,-92.47107210255432,563568.5931994941,316060.619767859,224,p27-00400
p37-01100,35.24552446347975,-80.84243683070893,1727664.171783599,-886009.6547340446,152,p37-01100
p08-00502,38.3183981614832,-104.57492327450457,-399552.71143799945,-731582.9160632059,656,p08-00502
p28-01400,32.378744938034586,-90.15235550334631,927895.0992472104,-1347187.83046886,356,p28-01400
p25-02000,42.21445021815109,-72.56619460762045,2207368.0030355845,66606.3955382885,800,p25-02000
p51-01000,38.015308355513746,-78.47571726560733,1863263.0875429239,-533430.9786572835,154,p51-01000
p26-00900,43.52035716623972,-84.13671484372868,1269106.2873949474,-40304.51511760935,696,p26-00900
p18-02100,40.2275342165652,-85.39693543475674,1232819.4144660751,-421157.1909968362,528,p18-02100
p55-01100,43.067358603910506,-89.41833051135366,856714.3138728472,-159263.70469185314,472,p55-01100
p37-02801,35.80413443734767,-78.72867102343709,1899332.031376141,-779421.0604475602,664,p37-02801
p36-02100,42.84399988632543,-73.80343928492002,2090534.0892788968,100968.44709697476,16,p36-02100
p48-06000,27.761055904804987,-99.3315759544115,66520.86103926494,-1909406.452309117,408,p48-06000
p53-00100,48.825669173014525,-121.7174138672908,-1565904.8621509213,641274.9262324552,86,p53-00100
p25-00300,42.60393875479753,-71.90787404285653,2243336.730109282,126266.20977839392,260,p25-00300
p35-00605,35.39083726859183,-106.81752965066481,-619350.3875888074,-1042248.647698298,20,p35-00605
p55-00300,44.45246180136769,-88.00376146613667,947879.5184562673,9372.391170792318,308,p55-00300
p55-00500,44.93880168508368,-91.28224575224444,684525.4396782927,30080.037429170225,229,p55-00500
p47-00300,36.496877438008646,-87.38293304157797,1125704.2013550324,-859914.3175055644,166,p47-00300
p39-04501,39.05902005362924,-84.22954069213611,1353371.7098555851,-531218.1461981259,164,p39-04501
p13-04000,31.661369656588487,-84.17721389603219,1497340.7407299657,-1341334.9060292826,12,p13-04000
p18-02700,39.524617326560985,-87.31304379504006,1084150.4793148034,-525420.4461348039,832,p18-02700
p45-00900,33.5055225305586,-81.91874870997479,1669418.0981615197,-1097647.4757829243,60,p45-00900
p28-02300,30.5297696083872,-88.84853617182138,1073007.873676715,-1535381.4396409485,92,p28-02300
p12-03604,26.151843284429816,-80.48781875203666,1954640.648628273,-1868550.396296812,268,p12-03604
p32-00503,36.214504884684274,-115.01869883240732,-1342518.8513786774,-855627.6207707216,412,p32-00503
p48-02900,32.3014795195049,-99.89012077824093,10390.97803982124,-1409115.5768741288,4,p48-02900
p35-00400,35.52654813874656,-105.9941134202966,-543738.0003025564,-1032904.114277793,749,p35-00400
p39-04301,39.438618498676064,-84.57551393808484,1316706.7606341818,-495138.1871398111,320,p39-04301
p12-01102,30.215912864601652,-81.69257157739897,1757699.1009841403,-1452128.2403733213,359,p12-01102
p33-00900,42.77360256307776,-71.45168774638233,2271498.6494657146,157091.2683911935,535,p33-00900
p18-02305,39.807327316146996,-86.11735590859453,1180194.7138101864,-477909.9450139351,348,p18-02305
p12-03400,27.21527894454031,-80.4590908313343,1936158.9927795138,-1752416.8245811316,271,p12-03400
p06-03001,36.5894435560435,-121.80764618617506,-1925239.677498359,-681813.49576525,712,p06-03001
p37-00202,35.71166775061339,-82.60163002888969,1562261.5427180256,-869547.8854630161,48,p37-00202
p24-01001,38.819236671748826,-77.45888555108142,1926066.632774097,-422888.1645909633,884,p24-01001
p12-00500,30.27926405375833,-85.61557354216906,1384917.8217227694,-1516795.7475101145,601,p12-00500
p48-00200,35.18408373995746,-101.89547095737112,-172876.80390189262,-1088209.8690540686,32,p48-00200
p20-01403,37.79620212775559,-97.15480298575642,250430.4085085546,-796238.6630510277,904,p20-01403
p42-03303,40.04236490587336,-76.24773499088083,1989368.788494579,-261706.65270139684,400,p42-03303
p34-02302,40.28362693014694,-74.70115337884465,2106154.614620267,-196974.12631255802,848,p34-02302
p17-01700,40.68762444193378,-89.50880105872022,882249.752823005,-423205.34271958173,612,p17-01700
p19-00400,42.470097177223074,-92.30852371584335,629859.904607593,-251681.00077822714,892,p19-00400
p41-01102,44.90337448729388,-122.5825197177008,-1749767.154141095,236186.19968660825,708,p41-01102
p23-00200,43.750593954735066,-70.4163675663517,2310979.038755146,290203.361078785,640,p23-00200
p06-01401,38.805185051342214,-120.7785685026255,-1779942.7631385946,-464013.11452734674,692,p06-01401
p01-00200,34.78320220776302,-86.73459036467933,1210208.0882153008,-1039499.2587291452,344,p01-00200
p18-03700,38.048964032597496,-87.58178186097994,1084436.8348879188,-691557.3343840112,244,p18-03700
p48-00700,33.988026291593215,-98.70317677805815,120112.64591938668,-1221676.3963358805,908,p48-00700
p42-02600,40.481253072368375,-78.34862689601006,1806571.408724959,-262895.17976549966,28,p42-02600
p12-03509,26.646703841062532,-80.46772542240763,1946759.2468655691,-1814370.201600781,896,p12-03509
p06-00900,38.68667368787922,-121.9016099417178,-1876675.5178383025,-452008.0107823421,927,p06-00900
p36-01003,43.069105723195364,-77.62189582065515,1789683.7458759034,33509.022054228386,684,p36-01003
p49-00507,40.95504812218018,-111.97710850855148,-1002035.4968901641,-376670.7341153148,716,p49-00507
p39-02000,40.77475381261993,-82.53650061998495,1457888.3740293402,-314316.788897431,480,p39-02000
p06-00300,40.76376688208048,-122.04053440709387,-1830066.7582679337,-223610.11579489172,669,p06-00300
p48-03200,31.869224611223558,-102.287141332964,-217375.6311658104,-1453990.1107154198,580,p48-03200
p13-03000,32.5099595493277,-84.8770433124698,1417470.200105995,-1260329.1952689285,180,p13-03000
p48-06702,26.396771214811,-98.18107937944305,183565.0148278213,-2057617.470403083,488,p48-06702
