statefip,puma,metarea
48,2900,4
39,1102,8
39,1000,8
39,1103,8
39,1202,8
39,1201,8
39,1101,8
13,4000,12
36,2202,16
36,2100,16
36,2402,16
36,2401,16
36,2300,16
36,2201,16
35,605,20
35,604,20
35,601,20
35,603,20
35,500,20
35,602,20
22,700,22
42,3702,24
42,3801,24
42,3600,24
42,3701,24
42,3802,24
42,2600,28
48,300,32
48,200,32
2,102,38
2,101,38
26,3200,44
26,3400,44
26,3300,44
1,1200,45
55,1500,46
37,202,48
37,201,48
13,500,50
13,1304,52
13,1302,52
13,1204,52
13,1104,52
13,1205,52
13,1502,52
13,1505,52
13,1101,52
13,1102,52
13,1301,52
13,1303,52
13,1504,52
13,1402,52
13,1106,52
13,700,52
13,1203,52
13,1600,52
13,1206,52
13,1900,52
13,1800,52
13,1700,52
13,1503,52
13,1501,52
13,1401,52
13,1202,52
13,1201,52
13,1107,52
13,1105,52
13,1103,52
13,900,52
13,2000,52
13,1305,52
34,200,56
34,102,56
34,101,56
1,1700,58
45,900,60
13,2400,60
13,2300,60
48,5401,64
48,5301,64
48,5402,64
48,5304,64
48,5202,64
48,5201,64
48,5303,64
48,5302,64
6,3901,68
6,3902,68
6,3903,68
6,3800,68
24,507,72
24,601,72
24,602,72
24,901,72
24,802,72
24,806,72
24,1203,72
24,902,72
24,502,72
24,1202,72
24,506,72
24,503,72
24,400,72
24,1201,72
24,804,72
24,805,72
24,505,72
24,801,72
24,1204,72
24,504,72
24,803,72
24,501,72
25,4800,74
22,1402,76
22,1401,76
22,1502,76
22,1501,76
22,1600,76
48,4200,84
48,4400,84
48,4300,84
53,100,86
26,2400,87
30,400,88
28,2200,92
28,2300,92
36,2602,96
36,2601,96
1,905,100
1,1300,100
1,904,100
1,901,100
1,902,100
1,903,100
18,2900,102
17,2000,104
16,600,108
16,500,108
16,700,108
25,3305,112
25,400,112
25,3700,112
25,3900,112
25,2600,112
25,1100,112
25,3000,112
25,3200,112
25,3100,112
25,1400,112
25,3302,112
25,600,112
25,2400,112
25,4200,112
25,1300,112
25,4600,112
25,3303,112
25,700,112
25,3304,112
25,1000,112
25,800,112
25,2500,112
25,3800,112
25,2700,112
25,3301,112
25,3600,112
25,2900,112
25,3500,112
25,900,112
25,3400,112
25,500,112
25,2800,112
25,1200,112
53,1701,115
53,1702,115
9,2400,116
9,2200,116
25,4100,120
25,4000,120
48,6900,124
48,6800,124
48,4000,126
36,1602,128
36,1605,128
36,1401,128
36,1601,128
36,1402,128
36,1604,128
36,1501,128
36,1603,128
36,1502,128
39,2202,132
39,2203,132
39,2201,132
19,800,136
17,2100,140
45,2200,144
45,2101,144
45,2102,144
37,903,152
37,902,152
37,1300,152
37,1000,152
37,904,152
45,500,152
37,1100,152
37,901,152
37,1400,152
37,905,152
37,1200,152
51,1000,154
13,100,156
47,1800,156
47,1900,156
17,3302,160
17,3004,160
17,3104,160
17,3512,160
17,3510,160
17,3403,160
17,3413,160
17,3103,160
17,3205,160
17,3402,160
17,3414,160
17,3006,160
17,3201,160
17,3509,160
17,3206,160
17,3412,160
17,3002,160
17,3005,160
17,3405,160
17,3504,160
17,3505,160
17,3515,160
17,3410,160
17,3508,160
17,3305,160
17,3001,160
17,3003,160
18,203,160
17,3513,160
17,3407,160
17,3204,160
17,3511,160
17,3303,160
17,3203,160
17,3502,160
17,3301,160
17,3411,160
18,201,160
17,3517,160
17,3514,160
17,3404,160
17,3202,160
17,3409,160
18,100,160
17,3406,160
17,3519,160
17,3506,160
17,3507,160
17,3501,160
17,3408,160
17,3518,160
18,202,160
17,3401,160
17,3101,160
17,3102,160
17,3304,160
17,3516,160
18,300,160
17,3503,160
6,600,162
39,4501,164
39,4404,164
39,4402,164
39,4502,164
39,4503,164
39,4401,164
21,2400,164
39,4403,164
39,4602,164
39,4200,164
39,4601,164
21,2300,164
47,300,166
39,501,168
39,608,168
39,602,168
39,701,168
39,611,168
39,604,168
39,1300,168
39,601,168
39,502,168
39,605,168
39,603,168
39,609,168
39,606,168
39,703,168
39,610,168
39,800,168
39,612,168
39,607,168
39,702,168
8,901,172
8,902,172
8,903,172
8,904,172
8,905,172
29,600,174
45,1002,176
45,1100,176
45,1200,176
45,1001,176
13,3000,180
39,3101,184
39,3105,184
39,3107,184
39,3300,184
39,2700,184
39,3103,184
39,3102,184
39,3108,184
39,3106,184
39,3109,184
39,3104,184
39,3200,184
48,6302,188
48,6400,188
48,2313,192
48,2507,192
48,2502,192
48,2314,192
48,2501,192
48,2301,192
48,2312,192
48,2102,192
