year,metarea,wevalmeantemp,revalmeantemp,wevalmaxtemp,revalmaxtemp,wevalheating,revalheating,wemanufacturing,remanufacturing,weservice,reservice,wecollege,recollege,wek,rek
1980,4,-.2145101,-.0676053,-.2757786,-.0465473,.0297314,-.013462,.1051478,.0085421,-.0965051,.7357363,.0206905,.6687109,-.1099145,-.2331649
1990,4,-.1772207,-.2144563,-.2533391,-.2689195,.0210198,-.005707,.1406541,.1172097,.1813564,.7260392,.2084175,.8760499,-.2108377,-.4060334
2000,4,-.1905657,-.5155143,-.2729295,-.5942016,.0231941,.0448533,.0505675,-.0163136,.1105678,.821022,.3071139,.9849387,-.2307317,-.3297049
2010,4,-.1600778,-.2561679,-.2205914,-.2892485,.0169081,.0003551,-.0370052,-.1490181,.3198262,.3908562,.4313213,1.293705,-.1350203,-.2520385
1940,8,-.5608011,.5343096,-.6575068,.60323,.2579885,-.2458213,,,,,.090104,-.0014016,-.2043498,-.0573235
1950,8,,,,,,,,,,,,,,
1970,8,-.2066311,-.1694576,-.2545479,-.2299225,.0918542,.0479945,-.0772347,-.2417737,-.0426626,.3307564,.0445708,.4196308,-.0919912,-.1821054
1980,8,-.1656144,-.0521953,-.2129865,-.035949,.0719196,-.0325642,.1637709,.0133046,-.0831647,.6340313,.0179947,.5815856,-.1018272,-.2160091
1990,8,-.1368248,-.1655729,-.1956563,-.2076891,.0508465,-.013805,.2101641,.1751336,.1580122,.6325834,.19707,.8283523,-.1859204,-.3580474
2000,8,-.147128,-.3980074,-.2107861,-.4589076,.0561062,.1084992,.0944614,-.0304742,.0973688,.7230126,.3063153,.9823776,-.1613475,-.2305581
2010,8,-.1235895,-.1977767,-.1703649,-.2233894,.0409004,.0008591,-.0040842,-.016447,.3385336,.4137183,.41449,1.243222,-.1024358,-.1912139
1980,12,-.2209852,-.069646,-.2833788,-.0478301,.0223799,-.0101333,.0970624,.0078853,-.0874704,.6668569,.0152318,.4922868,-.1127061,-.2390868
2000,12,-.1963181,-.5310755,-.2804512,-.6105772,.0174591,.0337627,.0636428,-.0205318,.0953549,.7080589,.2516747,.8071408,-.2475151,-.3536876
2010,12,-.1649098,-.2639005,-.2266707,-.2972199,.0127274,.0002673,-.0130306,-.0524738,.2232559,.2728386,.3419906,1.025767,-.1348045,-.2516357
1940,16,-.5297861,.5047597,-.6372099,.5846086,.292257,-.2784736,,,,,.0800712,-.0012455,-.094947,-.0266342
